"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000252423.1",0,NA,NA,NA,NA,NA
"ENSG00000200857.1",0,NA,NA,NA,NA,NA
"ENSG00000234215.3",0,NA,NA,NA,NA,NA
"ENSG00000158321.18",0.434390508079498,-0.3881051196115,0.429654851379265,-0.882194201571978,0.377671797052691,NA
"ENSG00000236978.1",0,NA,NA,NA,NA,NA
"ENSG00000185274.12",0.085482194565138,-0.0824243470944037,0.365061034087844,-0.236397224459135,0.813124449729345,NA
"ENSG00000265878.2",0,NA,NA,NA,NA,NA
"ENSG00000283278.1",0,NA,NA,NA,NA,NA
"ENSG00000199940.1",0,NA,NA,NA,NA,NA
"ENSG00000183166.11",0.0951515129423435,0.0311707364154572,0.365003123313856,0.101668322134193,0.919019947095521,NA
"ENSG00000201014.1",2.22021001074819,0.252368646431282,0.547423668305063,0.370867638254697,0.710736119889303,NA
"ENSG00000235581.1",0,NA,NA,NA,NA,NA
"ENSG00000228769.1",0,NA,NA,NA,NA,NA
"ENSG00000277149.5",0.382904532175808,-0.105611416395334,0.386507118839729,-0.268571198420672,0.788259678518299,NA
"ENSG00000264494.1",0,NA,NA,NA,NA,NA
"ENSG00000270694.1",0,NA,NA,NA,NA,NA
"ENSG00000270555.1",0,NA,NA,NA,NA,NA
"ENSG00000266569.2",0,NA,NA,NA,NA,NA
"ENSG00000225648.5",0.195757249008418,-0.208137229235685,0.365576446307946,-0.49249947403293,0.622366293661989,NA
"ENSG00000274656.1",0,NA,NA,NA,NA,NA
"ENSG00000179994.11",0,NA,NA,NA,NA,NA
"ENSG00000196313.12",0.191169391391043,0.0451432050737623,0.365346986500352,0.130129053152676,0.89646432445622,NA
"ENSG00000272843.1",0,NA,NA,NA,NA,NA
"ENSG00000106133.18",0,NA,NA,NA,NA,NA
"ENSG00000285886.1",0,NA,NA,NA,NA,NA
"ENSG00000155428.12",0,NA,NA,NA,NA,NA
"ENSG00000174353.17",0,NA,NA,NA,NA,NA
"ENSG00000205584.6",0,NA,NA,NA,NA,NA
"ENSG00000276178.1",0,NA,NA,NA,NA,NA
"ENSG00000229018.5",0,NA,NA,NA,NA,NA
"ENSG00000201282.1",0,NA,NA,NA,NA,NA
"ENSG00000273520.5",0,NA,NA,NA,NA,NA
"ENSG00000273897.1",0,NA,NA,NA,NA,NA
"ENSG00000273927.1",0,NA,NA,NA,NA,NA
"ENSG00000285702.1",0,NA,NA,NA,NA,NA
"ENSG00000275976.5",0,NA,NA,NA,NA,NA
